Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-04,21:35:00,7.075,7.08,7.07,7.075,1100,0
2015-12-04,21:40:00,7.075,7.08,7.05,7.055,3410,0
2015-12-04,21:45:00,7.055,7.06,7.05,7.055,1640,0
2015-12-04,21:50:00,7.05,7.09,7.05,7.07,8569,0
2015-12-04,21:55:00,7.075,7.08,7.055,7.06,8933,0
2015-12-04,22:00:00,7.05,7.06,7.05,7.06,26231,0
2015-12-07,15:35:00,7.03,7.03,7.03,7.03,439,0
2015-12-07,15:40:00,6.96,6.97,6.912,6.96,2302,0
2015-12-07,15:50:00,7,7,6.95,6.95,1100,0
2015-12-07,15:55:00,6.95,6.95,6.95,6.95,100,0
2015-12-07,16:00:00,6.91,6.91,6.9,6.9,500,0
2015-12-07,16:05:00,6.92,6.96,6.9199,6.95,2900,0
2015-12-07,16:10:00,6.95,6.95,6.884,6.884,3165,0
2015-12-07,16:15:00,6.9,6.92,6.9,6.906,656,0
2015-12-07,16:20:00,6.91,6.95,6.91,6.95,2865,0
2015-12-07,16:25:00,6.95,6.97,6.95,6.97,500,0
2015-12-07,16:30:00,6.98,6.98,6.92,6.96,3446,0
2015-12-07,16:35:00,6.95,6.97,6.95,6.97,2000,0
2015-12-07,16:40:00,6.98,6.99,6.98,6.99,1600,0
2015-12-07,16:45:00,7.01,7.01,6.96,6.97,4240,0
2015-12-07,16:50:00,6.97,6.98,6.97,6.97,700,0
2015-12-07,16:55:00,6.97,6.97,6.97,6.97,100,0
2015-12-07,17:00:00,6.98,6.98,6.98,6.98,100,0
2015-12-07,17:05:00,6.96,6.96,6.955,6.955,300,0
2015-12-07,17:15:00,6.96,6.96,6.96,6.96,200,0
2015-12-07,17:20:00,6.94,6.94,6.88,6.94,8153,0
2015-12-07,17:25:00,6.91,6.925,6.91,6.925,1600,0
2015-12-07,17:30:00,6.92,6.93,6.9,6.91,1850,0
2015-12-07,17:40:00,6.92,6.92,6.92,6.92,100,0
2015-12-07,17:45:00,6.91,6.93,6.91,6.91,2700,0
2015-12-07,17:55:00,6.915,6.93,6.915,6.925,1200,0
2015-12-07,18:00:00,6.92,6.95,6.92,6.95,7400,0
2015-12-07,18:05:00,6.95,6.95,6.945,6.95,1690,0
2015-12-07,18:10:00,6.94,6.945,6.93,6.94,2400,0
2015-12-07,18:25:00,6.94,6.94,6.94,6.94,100,0
2015-12-07,18:30:00,6.92,6.925,6.91,6.91,700,0
2015-12-07,18:35:00,6.9,6.9,6.89,6.89,300,0
2015-12-07,18:40:00,6.89,6.89,6.89,6.89,100,0
2015-12-07,18:45:00,6.88,6.88,6.87,6.87,400,0
2015-12-07,18:50:00,6.86,6.86,6.86,6.86,200,0
2015-12-07,18:55:00,6.86,6.87,6.84,6.84,3600,0
2015-12-07,19:00:00,6.81,6.83,6.81,6.83,324,0
2015-12-07,19:05:00,6.83,6.83,6.83,6.83,100,0
2015-12-07,19:10:00,6.83,6.86,6.83,6.86,3985,0
2015-12-07,19:15:00,6.86,6.86,6.85,6.85,5500,0
2015-12-07,19:20:00,6.82,6.831,6.82,6.831,700,0
2015-12-07,19:40:00,6.83,6.835,6.83,6.835,1200,0
2015-12-07,19:45:00,6.81,6.83,6.81,6.83,400,0
2015-12-07,19:50:00,6.81,6.81,6.81,6.81,100,0
2015-12-07,19:55:00,6.81,6.81,6.81,6.81,100,0
2015-12-07,20:00:00,6.83,6.83,6.82,6.82,400,0
2015-12-07,20:05:00,6.82,6.83,6.82,6.82,1022,0
2015-12-07,20:10:00,6.83,6.83,6.81,6.81,2700,0
2015-12-07,20:15:00,6.8,6.8,6.78,6.782,800,0
2015-12-07,20:20:00,6.78,6.781,6.78,6.781,400,0
2015-12-07,20:25:00,6.79,6.795,6.785,6.795,1600,0
2015-12-07,20:30:00,6.79,6.79,6.78,6.785,400,0
2015-12-07,20:35:00,6.785,6.8,6.7673,6.7673,4200,0
2015-12-07,20:40:00,6.77,6.78,6.77,6.78,1200,0
2015-12-07,20:45:00,6.77,6.78,6.77,6.78,500,0
2015-12-07,20:50:00,6.78,6.78,6.77,6.775,1100,0
2015-12-07,20:55:00,6.7799,6.78,6.77,6.78,1700,0
2015-12-07,21:00:00,6.77,6.775,6.71,6.75,12080,0
2015-12-07,21:05:00,6.75,6.75,6.75,6.75,2057,0
2015-12-07,21:10:00,6.75,6.7699,6.75,6.7699,2100,0
2015-12-07,21:15:00,6.77,6.77,6.765,6.765,300,0
2015-12-07,21:20:00,6.765,6.765,6.765,6.765,300,0
2015-12-07,21:25:00,6.765,6.765,6.765,6.765,900,0
2015-12-07,21:30:00,6.7692,6.77,6.76,6.77,500,0
2015-12-07,21:35:00,6.77,6.77,6.76,6.765,5800,0
2015-12-07,21:40:00,6.77,6.78,6.76,6.77,9753,0
2015-12-07,21:45:00,6.78,6.78,6.77,6.77,1210,0
2015-12-07,21:50:00,6.79,6.79,6.77,6.78,10744,0
2015-12-07,21:55:00,6.79,6.79,6.78,6.79,4138,0
2015-12-07,22:00:00,6.795,6.799,6.76,6.78,38031,0
2015-12-08,15:35:00,6.71,6.74,6.64,6.64,1563,0
2015-12-08,15:40:00,6.64,6.71,6.64,6.7,1000,0
2015-12-08,15:45:00,6.69,6.7,6.69,6.7,200,0
2015-12-08,15:55:00,6.75,6.75,6.75,6.75,100,0
2015-12-08,16:00:00,6.73,6.73,6.7,6.7,800,0
2015-12-08,16:05:00,6.7105,6.72,6.7105,6.72,350,0
2015-12-08,16:10:00,6.72,6.72,6.71,6.71,1900,0
2015-12-08,16:15:00,6.705,6.72,6.705,6.72,600,0
2015-12-08,16:20:00,6.72,6.72,6.68,6.69,600,0
2015-12-08,16:25:00,6.665,6.665,6.665,6.665,100,0
2015-12-08,16:30:00,6.65,6.665,6.65,6.65,300,0
2015-12-08,16:35:00,6.66,6.68,6.645,6.68,1300,0
2015-12-08,16:40:00,6.7,6.7,6.695,6.695,200,0
2015-12-08,16:45:00,6.69,6.69,6.67,6.68,1600,0
2015-12-08,16:50:00,6.68,6.715,6.675,6.6827,3744,0
2015-12-08,16:55:00,6.685,6.705,6.68,6.7,2700,0
2015-12-08,17:00:00,6.7022,6.71,6.7,6.7,3600,0
2015-12-08,17:05:00,6.7,6.73,6.69,6.73,1400,0
